Year,Infected,MCV1_Admin,MCV1_Official,MCV1_WHO,MCV2_Admin,MCV2_Official,MCV2_WHO
2000,5098,89.0,61.0,74.0,,,
2001,4414,94.0,64.0,77.0,,,
2002,3484,87.0,65.0,75.0,,,
2003,4067,91.0,69.0,76.0,,,
2004,9743,96.0,96.0,81.0,,,
2005,25934,94.0,78.0,88.0,,,
2006,6192,92.0,84.0,83.0,,,
2007,2924,95.0,85.0,89.0,,,
2008,2660,96.0,85.0,92.0,,,
2009,718,98.39,87.8,93.0,,,
2010,788,94.3,89.0,88.0,,,
2011,5625,96.0,86.0,93.0,,,
2012,1986,111.0,89.0,88.0,22.0,22.0,41.0
2013,237,108.28,88.7,91.0,98.66,,82.0
2014,289,108.55,90.1,94.0,104.31,70.4,89.0
2015,240,120.19,90.1,97.0,114.89,70.4,90.0
2016,972,117.84,81.7,97.0,115.15,80.5,92.0
2017,4001,116.0,92.0,97.0,114.0,83.0,93.0
2018,2263,115.41,92.0,97.0,113.12,83.0,93.0
2019,5827,117.2,92.8,97.0,114.81,89.0,93.0
2020,2410,108.43,92.8,97.0,106.95,89.0,93.0
2021,208,117.86,92.8,97.0,114.99,89.0,93.0
2022,311,119.65,,96.0,116.49,,93.0
2023,281,125.3,88.6,96.0,122.9,89.1,93.0
2024,247,123.51,86.1,96.0,121.38,80.7,93.0
2025,125,,59.6,,,,
2026,12320,,,,,,
